Un_ID,Timepoint,Block_plot,Herbivory_trt,Coral_Id,Coral_Genus,Enrichment_trt,Size,Recruitment,Alive,Recruitment_timepoint
A3_1X1_P01,T3,A3,1X1,P01,Pocillopora,Enriched,2.094,1,1,T3
A3_1X1_P01,T6,A3,1X1,P01,Pocillopora,Enriched,4.901,0,1,T3
A3_1X1_P01,T9,A3,1X1,P01,Pocillopora,Enriched,6.7,0,1,T3
A3_1X1_P10,T6,A3,1X1,P10,Pocillopora,Enriched,5.442,1,1,T6
A3_1X1_P10,T9,A3,1X1,P10,Pocillopora,Enriched,7.82,0,1,T6
A3_1X1_P02,T3,A3,1X1,P02,Pocillopora,Enriched,4.159,1,1,T3
A3_1X1_P02,T6,A3,1X1,P02,Pocillopora,Enriched,6.381,0,1,T3
A3_1X1_P02,T9,A3,1X1,P02,Pocillopora,Enriched,9.831,0,1,T3
A3_1X1_P03,T3,A3,1X1,P03,Pocillopora,Enriched,3.165,1,1,T3
A3_1X1_P03,T6,A3,1X1,P03,Pocillopora,Enriched,5.198,0,1,T3
A3_1X1_P03,T9,A3,1X1,P03,Pocillopora,Enriched,8.542,0,1,T3
A3_1X1_P05,T3,A3,1X1,P05,Pocillopora,Enriched,4.066,1,1,T3
A3_1X1_P05,T6,A3,1X1,P05,Pocillopora,Enriched,9.272,0,1,T3
A3_1X1_P05,T9,A3,1X1,P05,Pocillopora,Enriched,13.706,0,1,T3
A3_1X1_P7A,T3,A3,1X1,P7A,Pocillopora,Enriched,NA,1,1,T3
A3_1X1_P7A,T9,A3,1X1,P7A,Pocillopora,Enriched,12.561,0,1,T3
A3_1X1_P7A,T6,A3,1X1,P7A,Pocillopora,Enriched,10.228,0,1,T3
A3_1X1_P7B,T9,A3,1X1,P7B,Pocillopora,Enriched,8.521,0,1,T6
A3_1X1_P7B,T6,A3,1X1,P7B,Pocillopora,Enriched,NA,1,1,T6
A3_1X1_P08,T9,A3,1X1,P08,Pocillopora,Enriched,5.14,0,1,T6
A3_1X1_P08,T6,A3,1X1,P08,Pocillopora,Enriched,4.276,1,1,T6
A3_1X1_P09,T9,A3,1X1,P09,Pocillopora,Enriched,5.77,0,1,T6
A3_1X1_P09,T6,A3,1X1,P09,Pocillopora,Enriched,3.379,1,1,T6
A3_2X2_P01,T3,A3,2X2,P01,Pocillopora,Enriched,3.534,1,1,T3
A3_2X2_P01,T6,A3,2X2,P01,Pocillopora,Enriched,6.948,0,1,T3
A3_2X2_P01,T9,A3,2X2,P01,Pocillopora,Enriched,8.856,0,1,T3
A3_2X2_P10,T6,A3,2X2,P10,Pocillopora,Enriched,2.126,1,1,T6
A3_2X2_P10,T9,A3,2X2,P10,Pocillopora,Enriched,3.296,0,1,T6
A3_2X2_P11,T6,A3,2X2,P11,Pocillopora,Enriched,3.859,1,1,T6
A3_2X2_P11,T9,A3,2X2,P11,Pocillopora,Enriched,6.909,0,1,T6
A3_2X2_P12,T6,A3,2X2,P12,Pocillopora,Enriched,3.759,1,1,T6
A3_2X2_P12,T9,A3,2X2,P12,Pocillopora,Enriched,6.694,0,1,T6
A3_2X2_P13,T6,A3,2X2,P13,Pocillopora,Enriched,3.057,1,1,T6
A3_2X2_P13,T9,A3,2X2,P13,Pocillopora,Enriched,5.892,0,1,T6
A3_2X2_P14,T9,A3,2X2,P14,Pocillopora,Enriched,2.415,1,1,T9
A3_2X2_P02,T3,A3,2X2,P02,Pocillopora,Enriched,3.241,1,1,T3
A3_2X2_P02,T6,A3,2X2,P02,Pocillopora,Enriched,4.481,0,1,T3
A3_2X2_P02,T9,A3,2X2,P02,Pocillopora,Enriched,5.856,0,1,T3
A3_2X2_P03,T3,A3,2X2,P03,Pocillopora,Enriched,4.677,1,1,T3
A3_2X2_P03,T6,A3,2X2,P03,Pocillopora,Enriched,9.332,0,1,T3
