Un_ID,Timepoint,Un_id_tp,Block_plot,Herbivory_trt,Coral_Id,Coral_genus,Enrichment_trt,Recruitment,Alive,Notes1,Rec_timepoint
A3_1X1_P01,T9,A3_1X1_P1_T9,A3,1X1,P01,Pocillopora,Enriched,0,1,,T3
A3_1X1_P01,T3,A3_1X1_P1_T3,A3,1X1,P01,Pocillopora,Enriched,1,1,,T3
A3_1X1_P01,T6,A3_1X1_P1_T6,A3,1X1,P01,Pocillopora,Enriched,0,1,,T3
A3_1X1_P10,T9,A3_1X1_P10_T9,A3,1X1,P10,Pocillopora,Enriched,0,1,,T6
A3_1X1_P10,T6,A3_1X1_P10_T6,A3,1X1,P10,Pocillopora,Enriched,1,1,,T6
A3_1X1_P11,T6,A3_1X1_P11_T6,A3,1X1,P11,Pocillopora,Enriched,1,1,,T6
A3_1X1_P11,T9,A3_1X1_P11_T9,A3,1X1,P11,Pocillopora,Enriched,0,0,,T6
A3_1X1_P02,T9,A3_1X1_P2_T9,A3,1X1,P02,Pocillopora,Enriched,0,1,,T3
A3_1X1_P02,T6,A3_1X1_P2_T6,A3,1X1,P02,Pocillopora,Enriched,0,1,,T3
A3_1X1_P02,T3,A3_1X1_P2_T3,A3,1X1,P02,Pocillopora,Enriched,1,1,,T3
A3_1X1_P03,T3,A3_1X1_P3_T3,A3,1X1,P03,Pocillopora,Enriched,1,1,,T3
A3_1X1_P03,T9,A3_1X1_P3_T9,A3,1X1,P03,Pocillopora,Enriched,0,1,,T3
A3_1X1_P03,T6,A3_1X1_P3_T6,A3,1X1,P03,Pocillopora,Enriched,0,1,,T3
A3_1X1_P04,T3,A3_1X1_P4_T3,A3,1X1,P04,Pocillopora,Enriched,1,1,,T3
A3_1X1_P04,T9,A3_1X1_P4_T9,A3,1X1,P04,Pocillopora,Enriched,0,0,,T3
A3_1X1_P04,T6,A3_1X1_P4_T6,A3,1X1,P04,Pocillopora,Enriched,0,0,,T3
A3_1X1_P05,T6,A3_1X1_P5_T6,A3,1X1,P05,Pocillopora,Enriched,0,1,,T3
A3_1X1_P05,T9,A3_1X1_P5_T9,A3,1X1,P05,Pocillopora,Enriched,0,1,,T3
A3_1X1_P05,T3,A3_1X1_P5_T3,A3,1X1,P05,Pocillopora,Enriched,1,1,,T3
A3_1X1_P06,T9,A3_1X1_P6_T9,A3,1X1,P06,Pocillopora,Enriched,0,0,,T6
A3_1X1_P06,T6,A3_1X1_P6_T6,A3,1X1,P06,Pocillopora,Enriched,1,1,,T6
A3_1X1_P7A,T9,A3_1X1_P7A_T9,A3,1X1,P7A,Pocillopora,Enriched,0,1,,T6
A3_1X1_P7A,T6,A3_1X1_P7A_T6,A3,1X1,P7A,Pocillopora,Enriched,1,1,,T6
A3_1X1_P7B,T6,A3_1X1_P7B_T6,A3,1X1,P7B,Pocillopora,Enriched,1,1,likely recruited before T6 but this is the first time we see it. T3 photomosaic isn't well resolved at T3. need to update T6 photomosaic,T6
A3_1X1_P7B,T9,A3_1X1_P7B_T9,A3,1X1,P7B,Pocillopora,Enriched,0,1,looks too big to be a recruit but didn't appear to be here at previous timepoint,T6
A3_1X1_P08,T6,A3_1X1_P8_T6,A3,1X1,P08,Pocillopora,Enriched,1,1,,T6
A3_1X1_P08,T9,A3_1X1_P8_T9,A3,1X1,P08,Pocillopora,Enriched,0,1,,T6
A3_1X1_P09,T9,A3_1X1_P9_T9,A3,1X1,P09,Pocillopora,Enriched,0,1,,T6
A3_1X1_P09,T6,A3_1X1_P9_T6,A3,1X1,P09,Pocillopora,Enriched,1,1,,T6
A3_2X2_P01,T9,A3_2X2_P1_T9,A3,2X2,P01,Pocillopora,Enriched,0,1,,T3
A3_2X2_P01,T6,A3_2X2_P1_T6,A3,2X2,P01,Pocillopora,Enriched,0,1,,T3
A3_2X2_P01,T3,A3_2X2_P1_T3,A3,2X2,P01,Pocillopora,Enriched,1,1,,T3
A3_2X2_P10,T6,A3_2X2_P10_T6,A3,2X2,P10,Pocillopora,Enriched,1,1,,T6
A3_2X2_P10,T9,A3_2X2_P10_T9,A3,2X2,P10,Pocillopora,Enriched,0,1,,T6
A3_2X2_P11,T9,A3_2X2_P11_T9,A3,2X2,P11,Pocillopora,Enriched,0,1,,T6
A3_2X2_P11,T6,A3_2X2_P11_T6,A3,2X2,P11,Pocillopora,Enriched,1,1,,T6
A3_2X2_P12,T9,A3_2X2_P12_T9,A3,2X2,P12,Pocillopora,Enriched,0,1,,T6
A3_2X2_P12,T6,A3_2X2_P12_T6,A3,2X2,P12,Pocillopora,Enriched,1,1,,T6
A3_2X2_P13,T6,A3_2X2_P13_T6,A3,2X2,P13,Pocillopora,Enriched,1,1,,T6
A3_2X2_P13,T9,A3_2X2_P13_T9,A3,2X2,P13,Pocillopora,Enriched,0,1,,T6
A3_2X2_P14,T9,A3_2X2_P14_T9,A3,2X2,P14,Pocillopora,Enriched,1,1,,T9
A3_2X2_P02,T6,A3_2X2_P2_T6,A3,2X2,P02,Pocillopora,Enriched,0,1,,T3
A3_2X2_P02,T3,A3_2X2_P2_T3,A3,2X2,P02,Pocillopora,Enriched,1,1,,T3
A3_2X2_P02,T9,A3_2X2_P2_T9,A3,2X2,P02,Pocillopora,Enriched,0,1,,T3
A3_2X2_P03,T9,A3_2X2_P3_T9,A3,2X2,P03,Pocillopora,Enriched,0,1,,T3
A3_2X2_P03,T6,A3_2X2_P3_T6,A3,2X2,P03,Pocillopora,Enriched,0,1,,T3
A3_2X2_P03,T3,A3_2X2_P3_T3,A3,2X2,P03,Pocillopora,Enriched,1,1,,T3
A3_2X2_P04,T3,A3_2X2_P4_T3,A3,2X2,P04,Pocillopora,Enriched,1,1,,T3
A3_2X2_P04,T6,A3_2X2_P4_T6,A3,2X2,P04,Pocillopora,Enriched,0,1,,T3
A3_2X2_P04,T9,A3_2X2_P4_T9,A3,2X2,P04,Pocillopora,Enriched,0,1,,T3
A3_2X2_P05,T6,A3_2X2_P5_T6,A3,2X2,P05,Pocillopora,Enriched,0,1,,T3
A3_2X2_P05,T3,A3_2X2_P5_T3,A3,2X2,P05,Pocillopora,Enriched,1,1,,T3
A3_2X2_P05,T9,A3_2X2_P5_T9,A3,2X2,P05,Pocillopora,Enriched,0,1,,T3
A3_2X2_P06,T9,A3_2X2_P6_T9,A3,2X2,P06,Pocillopora,Enriched,0,1,,T3
A3_2X2_P06,T3,A3_2X2_P6_T3,A3,2X2,P06,Pocillopora,Enriched,1,1,,T3
A3_2X2_P06,T6,A3_2X2_P6_T6,A3,2X2,P06,Pocillopora,Enriched,0,1,,T3
A3_2X2_P07,T6,A3_2X2_P7_T6,A3,2X2,P07,Pocillopora,Enriched,0,1,,T3
A3_2X2_P07,T9,A3_2X2_P7_T9,A3,2X2,P07,Pocillopora,Enriched,0,1,also caulerpa,T3
A3_2X2_P07,T3,A3_2X2_P7_T3,A3,2X2,P07,Pocillopora,Enriched,1,1,,T3
A3_2X2_P08,T6,A3_2X2_P8_T6,A3,2X2,P08,Pocillopora,Enriched,1,1,,T6
A3_2X2_P08,T9,A3_2X2_P8_T9,A3,2X2,P08,Pocillopora,Enriched,0,1,,T6
A3_2X2_P09,T9,A3_2X2_P9_T9,A3,2X2,P09,Pocillopora,Enriched,0,1,,T6
A3_2X2_P09,T6,A3_2X2_P9_T6,A3,2X2,P09,Pocillopora,Enriched,1,1,,T6
A3_3X3_P01,T9,A3_3X3_P1_T9,A3,3X3,P01,Pocillopora,Enriched,0,0,,T3
A3_3X3_P01,T6,A3_3X3_P1_T6,A3,3X3,P01,Pocillopora,Enriched,0,0,,T3
A3_3X3_P01,T3,A3_3X3_P1_T3,A3,3X3,P01,Pocillopora,Enriched,1,1,,T3
A3_3X3_P10,T6,A3_3X3_P10_T6,A3,3X3,P10,Pocillopora,Enriched,1,1,was probably already there at T3 but underneath diffuser,T6
A3_3X3_P10,T9,A3_3X3_P10_T9,A3,3X3,P10,Pocillopora,Enriched,0,1,was probably already there at T3 but underneath diffuser,T6
A3_3X3_P11,T3,A3_3X3_P11_T3,A3,3X3,P11,Pocillopora,Enriched,1,1,,T3
A3_3X3_P11,T6,A3_3X3_P11_T6,A3,3X3,P11,Pocillopora,Enriched,0,1,,T3
A3_3X3_P11,T9,A3_3X3_P11_T9,A3,3X3,P11,Pocillopora,Enriched,0,1,,T3
A3_3X3_P12,T9,A3_3X3_P12_T9,A3,3X3,P12,Pocillopora,Enriched,0,1,,T6
A3_3X3_P12,T6,A3_3X3_P12_T6,A3,3X3,P12,Pocillopora,Enriched,1,1,,T6
A3_3X3_P13,T9,A3_3X3_P13_T9,A3,3X3,P13,Pocillopora,Enriched,1,1,,T9
A3_3X3_P14,T9,A3_3X3_P14_T9,A3,3X3,P14,Pocillopora,Enriched,0,1,,T6
A3_3X3_P14,T6,A3_3X3_P14_T6,A3,3X3,P14,Pocillopora,Enriched,1,1,,T6
A3_3X3_P15,T9,A3_3X3_P15_T9,A3,3X3,P15,Pocillopora,Enriched,1,1,,T9
A3_3X3_P16,T9,A3_3X3_P16_T9,A3,3X3,P16,Pocillopora,Enriched,1,1,,T9
A3_3X3_P02,T6,A3_3X3_P2_T6,A3,3X3,P02,Pocillopora,Enriched,0,1,,T3
A3_3X3_P02,T3,A3_3X3_P2_T3,A3,3X3,P02,Pocillopora,Enriched,1,1,,T3
A3_3X3_P02,T9,A3_3X3_P2_T9,A3,3X3,P02,Pocillopora,Enriched,0,1,,T3
A3_3X3_P03,T6,A3_3X3_P3_T6,A3,3X3,P03,Pocillopora,Enriched,0,1,,T3
A3_3X3_P03,T3,A3_3X3_P3_T3,A3,3X3,P03,Pocillopora,Enriched,1,1,,T3
A3_3X3_P03,T9,A3_3X3_P3_T9,A3,3X3,P03,Pocillopora,Enriched,0,1,,T3
