Un_ID,Plot,Herbivory_trt,Enrichment_trt,Coral_ID,Size_T10,Recruitment_timepoint
A3_1X1_P01,A3,1X1,Enriched,P01,7,T3
A3_1X1_P10,A3,1X1,Enriched,P10,9,T6
A3_1X1_P02,A3,1X1,Enriched,P02,11,T3
A3_1X1_P03,A3,1X1,Enriched,P03,9,T3
A3_1X1_P05,A3,1X1,Enriched,P05,15,T3
A3_1X1_P7A,A3,1X1,Enriched,P7A,14,T3
A3_1X1_P7B,A3,1X1,Enriched,P7B,10,T6
A3_1X1_P08,A3,1X1,Enriched,P08,7,T6
A3_1X1_P09,A3,1X1,Enriched,P09,16,T6
A3_2X2_P01,A3,2X2,Enriched,P01,10,T3
A3_2X2_P10,A3,2X2,Enriched,P10,3.5,T6
A3_2X2_P11,A3,2X2,Enriched,P11,9,T6
A3_2X2_P12,A3,2X2,Enriched,P12,8,T6
A3_2X2_P13,A3,2X2,Enriched,P13,6,T6
A3_2X2_P14,A3,2X2,Enriched,P14,2.5,T9
A3_2X2_P02,A3,2X2,Enriched,P02,7,T3
A3_2X2_P03,A3,2X2,Enriched,P03,12,T3
A3_2X2_P04,A3,2X2,Enriched,P04,10,T3
A3_2X2_P05,A3,2X2,Enriched,P05,5,T3
A3_2X2_P06,A3,2X2,Enriched,P06,5,T3
A3_2X2_P07,A3,2X2,Enriched,P07,9,T3
A3_2X2_P08,A3,2X2,Enriched,P08,3.5,T6
A3_3X3_P10,A3,3X3,Enriched,P10,6,T6
A3_3X3_P12,A3,3X3,Enriched,P12,2.5,T6
A3_3X3_P13,A3,3X3,Enriched,P13,3.5,T9
A3_3X3_P14,A3,3X3,Enriched,P14,3,T6
A3_3X3_P15,A3,3X3,Enriched,P15,7,T9
A3_3X3_P16,A3,3X3,Enriched,P16,3,T9
A3_3X3_P02,A3,3X3,Enriched,P02,5.5,T3
A3_3X3_P03,A3,3X3,Enriched,P03,7.5,T3
A3_3X3_P04,A3,3X3,Enriched,P04,8,T3
A3_3X3_P5A,A3,3X3,Enriched,P5A,11,T3
A3_3X3_P5B,A3,3X3,Enriched,P5B,9,T3
A3_3X3_P06,A3,3X3,Enriched,P06,14,T3
A3_3X3_P07,A3,3X3,Enriched,P07,7,T3
A3_3X3_P08,A3,3X3,Enriched,P08,7,T3
A3_3X3_P09,A3,3X3,Enriched,P09,4.5,T6
A3_open_P01,A3,open,Enriched,P01,10,T3
A3_open_P11,A3,open,Enriched,P11,2.5,T6
A3_open_P14,A3,open,Enriched,P14,3.5,T6
A3_open_P15,A3,open,Enriched,P15,2.5,T9
A3_open_P02,A3,open,Enriched,P02,8,T3
A3_open_P03,A3,open,Enriched,P03,8,T3
A3_open_P04,A3,open,Enriched,P04,7,T3
A3_open_P05,A3,open,Enriched,P05,7.5,T3
A3_open_P07,A3,open,Enriched,P07,7.5,T6
A3_open_P08,A3,open,Enriched,P08,6,T6
A3_open_P09,A3,open,Enriched,P09,5.5,T6
A4_1X1_P01,A4,1X1,Ambient,P01,7,T6
A4_1X1_P11,A4,1X1,Ambient,P11,7,T6
A4_1X1_P12,A4,1X1,Ambient,P12,10,T6
A4_1X1_P13,A4,1X1,Ambient,P13,5.5,T6
A4_1X1_P14,A4,1X1,Ambient,P14,11,T6
A4_1X1_P17,A4,1X1,Ambient,P17,5.5,T6
A4_1X1_P21,A4,1X1,Ambient,P21,2,T6
A4_1X1_P22,A4,1X1,Ambient,P22,3,T6
A4_1X1_P24,A4,1X1,Ambient,P24,15,T9
A4_1X1_P25,A4,1X1,Ambient,P25,5.5,T9
A4_1X1_P28,A4,1X1,Ambient,P28,,T9
A4_1X1_P03,A4,1X1,Ambient,P03,6,T6
A4_1X1_P05,A4,1X1,Ambient,P05,8,T6
A4_1X1_P08,A4,1X1,Ambient,P08,9,T0
A4_1X1_P09,A4,1X1,Ambient,P09,8,T6
A4_2X2_P01,A4,2X2,Ambient,P01,11.5,T3
A4_2X2_P11,A4,2X2,Ambient,P11,8.5,T3
A4_2X2_P12,A4,2X2,Ambient,P12,9.5,T0
A4_2X2_P13,A4,2X2,Ambient,P13,9,T3
A4_2X2_P14,A4,2X2,Ambient,P14,5,T3
A4_2X2_P16,A4,2X2,Ambient,P16,6,T6
A4_2X2_P02,A4,2X2,Ambient,P02,4,T3
A4_2X2_P03,A4,2X2,Ambient,P03,14,T0
A4_2X2_P05,A4,2X2,Ambient,P05,8,T3
A4_2X2_P06,A4,2X2,Ambient,P06,17,T0
A4_2X2_P09,A4,2X2,Ambient,P09,9,T3
A4_3X3_P01,A4,3X3,Ambient,P01,9,T0
A4_3X3_P14,A4,3X3,Ambient,P14,2.5,T9
A4_3X3_P15,A4,3X3,Ambient,P15,4.5,T9
A4_3X3_P16,A4,3X3,Ambient,P16,3.5,T9
