Un_ID,Plot,Herbivory_trt,Enrichment_trt,Coral_ID,Haplotype,Species,flag_uncertain_recruit_time,flag_partial_mortality,flag_unlabelled,flag_bad_sequence,flag_missing_sample
A3_1X1_P01,A3,1X1,Enriched,P01,Haplotype 1,P. meandrina,0,0,0,0,0
A3_1X1_P02,A3,1X1,Enriched,P02,Haplotype 1,P. grandis,0,0,0,0,0
A3_1X1_P03,A3,1X1,Enriched,P03,Haplotype 1,P. meandrina,0,0,0,0,0
A3_1X1_P05,A3,1X1,Enriched,P05,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_1X1_P08,A3,1X1,Enriched,P08,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_1X1_P09,A3,1X1,Enriched,P09,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_1X1_P10,A3,1X1,Enriched,P10,Haplotype 1,P. grandis,0,0,0,0,0
A3_1X1_P7A,A3,1X1,Enriched,P7A,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_1X1_P7B,A3,1X1,Enriched,P7B,Haplotype 10,P. tuahiniensis,1,0,0,0,0
A3_2X2_P01,A3,2X2,Enriched,P01,Haplotype 1,P. meandrina,0,0,0,0,0
A3_2X2_P02,A3,2X2,Enriched,P02,Haplotype 1,P. grandis,0,0,0,0,0
A3_2X2_P03,A3,2X2,Enriched,P03,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_2X2_P04,A3,2X2,Enriched,P04,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_2X2_P05,A3,2X2,Enriched,P05,Haplotype 1,P. meandrina,0,0,0,0,0
A3_2X2_P06,A3,2X2,Enriched,P06,Haplotype 1,P. meandrina,0,0,0,0,0
A3_2X2_P07,A3,2X2,Enriched,P07,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_2X2_P08,A3,2X2,Enriched,P08,Haplotype 1,P. grandis,0,0,0,0,0
A3_2X2_P10,A3,2X2,Enriched,P10,Haplotype 1,P. meandrina,0,0,0,0,0
A3_2X2_P11,A3,2X2,Enriched,P11,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_2X2_P12,A3,2X2,Enriched,P12,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_2X2_P13,A3,2X2,Enriched,P13,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_2X2_P14,A3,2X2,Enriched,P14,Haplotype 1,P. meandrina,0,0,0,0,0
A3_3X3_P02,A3,3X3,Enriched,P02,Haplotype 1,P. meandrina,0,0,0,0,0
A3_3X3_P03,A3,3X3,Enriched,P03,Haplotype 1,P. meandrina,0,0,0,0,0
A3_3X3_P04,A3,3X3,Enriched,P04,Haplotype 8a,P. meandrina,0,0,0,0,0
A3_3X3_P06,A3,3X3,Enriched,P06,Haplotype 10,P. tuahiniensis,0,0,0,0,0
A3_3X3_P07,A3,3X3,Enriched,P07,Haplotype 3a,P. verrucosa,0,0,0,0,0
A3_3X3_P08,A3,3X3,Enriched,P08,Haplotype 1,P. grandis,0,0,0,0,0
A3_3X3_P09,A3,3X3,Enriched,P09,Haplotype 1,P. grandis,0,0,0,0,0
