Block_Plot,Block_Plot_Herb_Trt,Herbivory_trt,Enrichment_trt,mean_macroalgae,median_macroalgae
A3,A3_1X1,1X1,Enriched,20.68397902,25.74257426
A3,A3_2X2,2X2,Enriched,25.26544653,32.60869565
A3,A3_3X3,3X3,Enriched,7.163058078,5.813953488
A3,A3_Open,Open,Enriched,2.599693823,1.904761905
A4,A4_1X1,1X1,Ambient,32.59718112,35.82887701
A4,A4_2X2,2X2,Ambient,28.20342508,38.69047619
A4,A4_3X3,3X3,Ambient,3.826330074,1.796407186
A4,A4_Open,Open,Ambient,2.575364333,2.577319588
B1,B1_1X1,1X1,Enriched,12.99637426,8.717948718
B1,B1_2X2,2X2,Enriched,26.04917765,33.49753695
B1,B1_3X3,3X3,Enriched,4.393740721,1.960784314
B1,B1_Open,Open,Enriched,1.800496575,2.395209581
B2,B2_1X1,1X1,Ambient,19.65894375,19.30693069
B2,B2_2X2,2X2,Ambient,27.05960073,30.34825871
B2,B2_3X3,3X3,Ambient,6.897190232,5.529953917
B2,B2_Open,Open,Ambient,2.631706533,1.075268817
C2,C2_1X1,1X1,Ambient,32.52733397,31.81818182
C2,C2_2X2,2X2,Ambient,29.82850522,32.87037037
C2,C2_3X3,3X3,Ambient,6.321836401,5.213270142
C2,C2_Open,Open,Ambient,5.615949697,5.759162304
C4,C4_1X1,1X1,Enriched,10.2846131,8.493397359
C4,C4_2X2,2X2,Enriched,26.79169178,34.46327684
C4,C4_3X3,3X3,Enriched,7.646680458,9.693877551
C4,C4_Open,Open,Enriched,3.070481941,1.685393258
D1,D1_1X1,1X1,Ambient,30.60440698,32.67326733
D1,D1_2X2,2X2,Ambient,20.94490725,23.30687831
D1,D1_3X3,3X3,Ambient,9.846349498,11.05769231
D1,D1_Open,Open,Ambient,4.229174445,3.076923077
D3,D3_1X1,1X1,Enriched,31.01422293,37.44075829
D3,D3_2X2,2X2,Enriched,29.220796,26.96078431
D3,D3_3X3,3X3,Enriched,6.301488226,4.210526316
D3,D3_Open,Open,Enriched,3.295628272,1.666666667
